date,hire_year,hire_month,month_name,new_hires
2020-02-01,2020,2,Feb,4
2020-03-01,2020,3,Mar,2
2020-04-01,2020,4,Apr,2
2020-05-01,2020,5,May,1
2020-06-01,2020,6,Jun,3
2020-07-01,2020,7,Jul,3
2020-08-01,2020,8,Aug,2
2020-09-01,2020,9,Sep,21
2020-10-01,2020,10,Oct,1
2020-11-01,2020,11,Nov,1
2020-12-01,2020,12,Dec,3
2021-01-01,2021,1,Jan,4
2021-02-01,2021,2,Feb,3
2021-03-01,2021,3,Mar,3
2021-05-01,2021,5,May,1
2021-08-01,2021,8,Aug,4
2021-09-01,2021,9,Sep,8
2021-10-01,2021,10,Oct,1
2021-11-01,2021,11,Nov,1
2022-02-01,2022,2,Feb,1
2022-03-01,2022,3,Mar,4
2022-04-01,2022,4,Apr,5
2022-05-01,2022,5,May,1
2022-06-01,2022,6,Jun,3
2022-07-01,2022,7,Jul,5
2022-08-01,2022,8,Aug,1
2022-09-01,2022,9,Sep,8
2022-10-01,2022,10,Oct,2
2022-11-01,2022,11,Nov,2
2022-12-01,2022,12,Dec,1
2023-01-01,2023,1,Jan,1
2023-02-01,2023,2,Feb,1
2023-04-01,2023,4,Apr,2
2023-05-01,2023,5,May,2
2023-06-01,2023,6,Jun,8
2023-07-01,2023,7,Jul,4
2023-08-01,2023,8,Aug,3
2023-09-01,2023,9,Sep,2
2023-10-01,2023,10,Oct,2
2023-11-01,2023,11,Nov,1
2023-12-01,2023,12,Dec,9
2024-01-01,2024,1,Jan,5
2024-02-01,2024,2,Feb,4
2024-03-01,2024,3,Mar,7
2024-04-01,2024,4,Apr,3
2024-05-01,2024,5,May,2
2024-06-01,2024,6,Jun,2
2024-10-01,2024,10,Oct,2
2025-01-01,2025,1,Jan,6
2025-03-01,2025,3,Mar,1
2025-04-01,2025,4,Apr,1
2025-07-01,2025,7,Jul,2
